"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 09:00:03 GMT 2024","Tue Mar 26 09:00:04 GMT 2024","636","","Add and Remove item from the cart","","","","Add and Remove item from the cart",""
"passed","Tue Mar 26 09:00:01 GMT 2024","Tue Mar 26 09:00:03 GMT 2024","1916","","Add and purchase the item","","","","Add and purchase the item",""
