"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 05:10:48 GMT 2024","Thu May 30 05:10:50 GMT 2024","2749","","Add and purchase the item","","","","Add and purchase the item",""
"passed","Thu May 30 05:10:50 GMT 2024","Thu May 30 05:10:51 GMT 2024","633","","Add and Remove item from the cart","","","","Add and Remove item from the cart",""
