"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 04:51:34 GMT 2024","Wed Mar 27 04:51:34 GMT 2024","599","","Add and Remove item from the cart","","","","Add and Remove item from the cart",""
"passed","Wed Mar 27 04:51:32 GMT 2024","Wed Mar 27 04:51:34 GMT 2024","1335","","Add and purchase the item","","","","Add and purchase the item",""
