"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 08:47:24 GMT 2024","Tue Mar 26 08:47:25 GMT 2024","614","","Add and Remove item from the cart","","","","Add and Remove item from the cart",""
"passed","Tue Mar 26 08:47:23 GMT 2024","Tue Mar 26 08:47:24 GMT 2024","1793","","Add and purchase the item","","","","Add and purchase the item",""
