"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 07:36:27 GMT 2024","Fri May 31 07:36:28 GMT 2024","619","","Add and Remove item from the cart","","","","Add and Remove item from the cart",""
"passed","Fri May 31 07:36:23 GMT 2024","Fri May 31 07:36:27 GMT 2024","3628","","Add and purchase the item","","","","Add and purchase the item",""
